"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","CutOff","Gender","Age","Degree","University","Subject","GenAIUse","TypesOfAI[SQ001]","TypesOfAI[SQ002]","TypesOfAI[SQ003]","TypesOfAI[SQ004]","TypesOfAI[SQ005]","TypesOfAI[other]","AmoutUniAI","AIUniApplications[SQ001]","AIUniApplications[SQ002]","AIUniApplications[SQ003]","AIUniApplications[SQ004]","AIUniApplications[SQ005]","AIUniApplications[SQ006]","AIUniApplications[SQ007]","AIUniApplications[other]","AIFreq","AIOutcomes[SQ001]","AIOutcomes[SQ002]","AIOutcomes[SQ003]","AIOutcomes[SQ004]","AIOutcomes[SQ005]","AIOutcomes[SQ008]","AIOutcomes[SQ006]","AIOutcomes[SQ007]","RestrictionPolicy","RestrictionPolicy[other]","AIforStudAssess","EducatorsAIExp","EducatorsAIExp[other]","AIforMaterials","FearOfAI[SQ001]","FearOfAI[SQ002]","FearOfAI[SQ003]","FurtherAI[SQ001]","FurtherAI[SQ002]","FurtherAI[SQ003]","FurtherAI[SQ004]","ReaonsAgainstAI","Feedback"
"119","2024-01-18 06:34:26","6","de","736733589","2024-01-18 06:29:57","2024-01-18 06:34:26","Ja (Yes)","Weiblich (Female)","34","Other","Tübingen","Humanmedizin","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Unentschlossen (Undecided)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Nein (No)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","teils teils","trifft eher zu","trifft eher nicht zu","trifft eher zu","weil ich eigentlich garnicht lerne und nur ab und zu mal Informationen nachschlage, da hat mir die KI bisher nicht geholfen (hat mir tlw mehr Falschaussagen präsentiert als richtige).
Wenn ich etwas schreiben muss werde ich KI wahrscheinlich nutzen, für Formulierungen,
Überprüfen, etc",""
"120","2024-01-18 08:17:25","6","de","1497956539","2024-01-18 08:10:25","2024-01-18 08:17:25","Ja (Yes)","Männlich (Male)","18","Bachelor (Bachelors Degree)","Eberhard Karls Universität Tübingen","Geschichte/Politikwissenschaften B.Ed","Ja (Yes)","Ja","Nein","Nein","Ja","Ja","Stable Diffusion","10","Nein","Nein","Ja","Ja","Nein","Nein","Ja","","An einigen wenigen Wochentagen (On just a few days of the week)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","teils teils (Neutral)","teils teils (Neutral)","trifft gar nicht zu (Strongly Disagree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","teils teils (Neutral)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","teils teils (Neutral)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","teils teils","trifft eher zu","trifft gar nicht zu.","trifft eher zu","","Nichts kommt ohne Kontrolle aus. Trotzdem sollte KI schnellstmöglich großflächig in DEutschland eingesetzt werden. KI könnte eine Entwicklung werden, welche wir in Deutschland nicht durch unsere Übervorsichtigkeit verpassen sollten."
"121","2024-01-18 08:18:24","6","de","2032999283","2024-01-18 08:13:41","2024-01-18 08:18:24","Ja (Yes)","Weiblich (Female)","22","Bachelor (Bachelors Degree)","Uni Tübingen ","Deutsch und Sozialpädagogik","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","90","Nein","Ja","Nein","Nein","Ja","Nein","Nein","","Einige Male pro Monat (a couple times a month)","teils teils (Neutral)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Ja (Yes)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft gar nicht zu.","teils teils","teils teils","teils teils","",""
"122","2024-01-18 09:05:25","6","de","625030239","2024-01-18 08:58:58","2024-01-18 09:05:25","Ja (Yes)","Männlich (Male)","28","Master (Masters Degree)","Tübingen","Geoökologie","Ja (Yes)","Ja","Nein","Nein","Nein","Ja","","50","Ja","Nein","Nein","Ja","Nein","Nein","Nein","Verbesserung des wissenschaftlichen Schreibens auf englisch","Einige Male pro Monat (a couple times a month)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","teils teils (Neutral)","trifft eher zu (Agree)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Nein (No)","trifft eher zu (Agree)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher zu","trifft eher zu","trifft eher nicht zu","trifft eher zu","",""
"123","2024-01-18 09:39:25","6","de","646308745","2024-01-18 09:06:46","2024-01-18 09:39:25","Ja (Yes)","Weiblich (Female)","21","Bachelor (Bachelors Degree)","Universität Tübingen","Erziehungswissenschaft und Soziale Arbeit","Ja (Yes)","Ja","Ja","Nein","Nein","Nein","","70%","Nein","Nein","Ja","Nein","Ja","Ja","Nein","für eine erste Gliederung einer Hausarbeit","Weniger als einmal pro Monat (Less than once a month)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","teils teils (Neutral)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Unentschlossen (Undecided)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","teils teils","teils teils","trifft eher nicht zu","trifft eher zu","","Ich habe mich vor einiger Zeit mit dem Thema KI beschäftigt, privat und auch im Rahmen meines Studiums. Ich sehe durchaus die Vorteile von KI und nutze sie gelegentlich selbst, stehe ihr jedoch auch kritisch gegenüber. Es gibt gewisse Bereiche, in denen ich die Verwendung und den Einsatz von KI als sinnvoll erachte, aber auch Bereiche, in denen ich die Verwendung von KI kritisch sehe und die Arbeit von Menschen bevorzuge. "
"124","2024-01-18 09:24:45","6","de","237595557","2024-01-18 09:08:47","2024-01-18 09:24:45","Ja (Yes)","Männlich (Male)","23","Master (Masters Degree)","Tübingen","Lehramt","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","42%","Nein","Ja","Nein","Nein","Ja","Ja","Nein","","Einmal im Monat (Once a month)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Ja (Yes)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Nein (No)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","teils teils","trifft eher nicht zu","trifft eher zu","teils teils","",""
"125","2024-01-18 09:36:51","6","de","783760548","2024-01-18 09:32:08","2024-01-18 09:36:51","Ja (Yes)","Weiblich (Female)","28","Dr. / Phd.","University of Tübingen","Neuroscience","Ja (Yes)","Ja","Nein","Nein","Ja","Nein","","60%","Ja","Nein","Nein","Nein","Ja","Ja","Nein","","An einigen wenigen Wochentagen (On just a few days of the week)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Unentschlossen (Undecided)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","teils teils (Neutral)","trifft eher zu (Agree)","teils teils (Neutral)","teils teils","teils teils","teils teils","trifft eher zu","",""
"126","2024-01-18 09:49:34","6","de","193092603","2024-01-18 09:46:05","2024-01-18 09:49:34","Ja (Yes)","Weiblich (Female)","22","Bachelor (Bachelors Degree)","Universität Tübingen","Mathematik und Sport auf Lehramt","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","90","Nein","Nein","Nein","Nein","Ja","Nein","Nein","","Einige Male pro Monat (a couple times a month)","trifft eher zu (Agree)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher zu (Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Unentschlossen (Undecided)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft eher zu","trifft eher zu","trifft eher nicht zu","trifft eher nicht zu","",""
"127","2024-01-18 10:05:03","6","de","657914924","2024-01-18 09:59:49","2024-01-18 10:05:03","Ja (Yes)","Weiblich (Female)","36","Master (Masters Degree)","University of Tübingen","BA Erziehungswissenschaft und Soziale Arbeit","Ja (Yes)","Ja","Ja","Nein","Nein","Nein","","90","Nein","Nein","Nein","Nein","Nein","Nein","Nein","To translate and correct texts written in a non-native language","An einigen wenigen Wochentagen (On just a few days of the week)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher zu (Agree)","trifft gar nicht zu (Strongly Disagree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Ja (Yes)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft eher nicht zu","trifft voll zu","trifft gar nicht zu.","trifft voll zu","",""
"128","2024-01-18 10:34:50","6","de","208387672","2024-01-18 10:29:11","2024-01-18 10:34:50","Ja (Yes)","Keine Angabe (Prefer not to answer)","24","Bachelor (Bachelors Degree)","tuebingen","Ai and society","Ja (Yes)","Ja","Nein","Nein","Ja","Nein","deepl","60","Ja","Ja","Nein","Nein","Nein","Nein","Nein","zusammenfassen von texten","An den meisten Wochentagen (On most days of the week)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","teils teils (Neutral)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","Sonstiges","","Unentschlossen (Undecided)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher zu","teils teils","trifft eher nicht zu","trifft eher zu","",""
"129","2024-01-18 12:09:34","6","de","513780462","2024-01-18 12:07:22","2024-01-18 12:09:34","Ja (Yes)","Männlich (Male)","20","Other","Uni Tübingen","Humanmedizin","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Restriktiver Umgang (KI zur Bearbeitung studentischer Aufgaben generell verbieten) / Restrictive handling (generally prohibit AI for processing student tasks)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","trifft eher zu","trifft eher nicht zu","trifft eher zu","teils teils","",""
"130","2024-01-18 12:47:17","6","de","1221607751","2024-01-18 12:40:42","2024-01-18 12:47:17","Ja (Yes)","Männlich (Male)","20","Bachelor (Bachelors Degree)","Eberhard Karls Universitaet Tuebingen","Informatik","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","teils teils","teils teils","teils teils","trifft voll zu","Ich eigne mir das Material gerne auf klassische Weisen an, welche erfordern, dass ich mich intensiver mit dem Material beschaeftige.","Hoffentlich wird diese Studie nicht dadurch verfaelscht, dass evtl. vermehrt Personen, welche an KI interessiert sind oder von dieser grossen Nutzen ziehen, eher dazu neigen an der Studie teilzunehmen als andere."
"132","2024-01-18 13:15:11","6","de","1283100484","2024-01-18 13:10:24","2024-01-18 13:15:11","Ja (Yes)","Weiblich (Female)","31","Bachelor (Bachelors Degree)","Tübingen ","CL","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","90","Ja","Nein","Ja","Ja","Ja","Ja","Ja","","An einigen wenigen Wochentagen (On just a few days of the week)","trifft eher zu (Agree)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Unentschlossen (Undecided)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher zu","trifft voll zu","trifft eher zu","trifft voll zu","",""
"133","2024-01-18 13:13:11","6","de","761045536","2024-01-18 13:13:03","2024-01-18 13:13:11","Nein (No)","","","","","","","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"134","","1","de","265945469","2024-01-18 13:13:33","2024-01-18 13:13:34","Ja (Yes)","","","","","","","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"135","2024-01-18 13:28:40","6","de","373151052","2024-01-18 13:25:41","2024-01-18 13:28:40","Ja (Yes)","Keine Angabe (Prefer not to answer)","19","Bachelor (Bachelors Degree)","Eberhard-Karls-Universität Tübingen","Psychologie","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","teils teils","teils teils","teils teils","trifft eher nicht zu","keine Notwendigkeit und ich hätte Bedenken, dass Fehler enthalten sind",""
"136","2024-01-18 13:31:13","6","de","679128050","2024-01-18 13:26:37","2024-01-18 13:31:13","Ja (Yes)","Männlich (Male)","23","Master (Masters Degree)","tubingen","qds","Ja (Yes)","Ja","Ja","Nein","Nein","Nein","","50:50","Ja","Nein","Ja","Nein","Ja","Nein","Nein","","Täglich (Daily)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft eher zu (Agree)","trifft gar nicht zu (Strongly Disagree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft gar nicht zu (Strongly Disagree)","trifft voll zu (Strongly Agree)","trifft eher nicht zu (Disagree)","trifft voll zu","trifft eher zu","trifft eher nicht zu","trifft voll zu","",""
"137","","5","de","379268000","2024-01-18 13:36:13","2024-01-18 13:40:10","Ja (Yes)","Männlich (Male)","27","Master (Masters Degree)","Tuebingen","Computer Science","Ja (Yes)","Ja","Ja","Nein","Ja","Nein","","50","Ja","Ja","Nein","Ja","Nein","Ja","Nein","","An den meisten Wochentagen (On most days of the week)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Ja (Yes)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","","","","","","","","",""
"138","2024-01-18 13:57:50","6","de","1447161229","2024-01-18 13:47:10","2024-01-18 13:57:50","Ja (Yes)","Weiblich (Female)","24","Master (Masters Degree)","Eberhard Karls Universität Tübingen","Informatik/ Computer Science","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","90","Ja","Ja","Nein","Nein","Ja","Nein","Ja","","Einige Male pro Monat (a couple times a month)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Ja (Yes)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft eher zu","trifft eher zu","trifft eher nicht zu","trifft voll zu","",""
"139","","1","de","518935485","2024-01-18 13:49:06","2024-01-18 13:49:10","Ja (Yes)","","","","","","","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"140","2024-01-18 13:53:30","6","de","1221383242","2024-01-18 13:49:31","2024-01-18 13:53:30","Ja (Yes)","Weiblich (Female)","21","Bachelor (Bachelors Degree)","Uni Tübingen","Computational linguistics ","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","95% Uni 5% other","Ja","Ja","Ja","Nein","Ja","Nein","Ja","","Täglich (Daily)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Nein (No)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft eher zu","trifft eher zu","trifft eher nicht zu","trifft eher zu","",""
"141","2024-01-18 13:56:28","6","de","432377552","2024-01-18 13:51:46","2024-01-18 13:56:28","Ja (Yes)","Männlich (Male)","23","Bachelor (Bachelors Degree)","Tübingen","Informatik","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","80","Ja","Ja","Nein","Nein","Ja","Nein","Nein","","An den meisten Wochentagen (On most days of the week)","trifft eher zu (Agree)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Unentschlossen (Undecided)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","teils teils (Neutral)","trifft voll zu","trifft voll zu","trifft eher nicht zu","trifft voll zu","",""
"142","2024-01-18 13:59:30","6","de","1526750470","2024-01-18 13:53:45","2024-01-18 13:59:30","Ja (Yes)","Weiblich (Female)","21","Master (Masters Degree)","Tübingen","Mathematik ","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","80","Ja","Nein","Nein","Nein","Nein","Ja","Nein","Um nochmal Definitionen und Resulate abzufragen, die mir eigentlich schon bekannt sind","Einige Male pro Monat (a couple times a month)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Dozenten in meinem Studiengang benötigen keine KI-Kenntnisse (Lecturers in my degree program do not need any AI knowledge)","","Ja (Yes)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","trifft gar nicht zu (Strongly Disagree)","trifft eher nicht zu","teils teils","teils teils","trifft voll zu","",""
"143","2024-01-18 13:58:07","6","de","412202941","2024-01-18 13:58:00","2024-01-18 13:58:07","Nein (No)","","","","","","","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"144","2024-01-18 14:25:50","6","de","480537119","2024-01-18 14:20:55","2024-01-18 14:25:50","Ja (Yes)","Männlich (Male)","23","Master (Masters Degree)","Kars-Eberhard Universität Tübingen","Machine Learning","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Sonstiges","Da ich Machine Learning studiere, halte ich bei meinen Dozenten Kentnisse für wichtig. Für andrere Studiengänge würde ich 'Einige Dozenten' antworten.","Ja (Yes)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","teils teils","trifft eher nicht zu","trifft eher zu","trifft eher zu","Ich vertraue generativer AI nicht sonderlich. Von dem was ich weiß, existiert kein unterliegendes Verständnis in AI generierten Inhalten, sodass oft auch falsches Wissen weitergegeben wird und komplexe Fragestellungen nicht wirklich bearbeitet werden können.",""
"145","2024-01-18 14:37:00","6","de","2001639471","2024-01-18 14:26:13","2024-01-18 14:37:00","Ja (Yes)","Männlich (Male)","24","Master (Masters Degree)","UT","Computer Science","Ja (Yes)","Ja","Nein","Nein","Ja","Nein","","70","Ja","Nein","Ja","Nein","Ja","Ja","Ja","","An den meisten Wochentagen (On most days of the week)","teils teils (Neutral)","teils teils (Neutral)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Unentschlossen (Undecided)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft gar nicht zu.","teils teils","teils teils","trifft eher zu","","Man sollte generativer KI offen gegenüberstehen, sich aber auch einfach der Gefahren bewusst sein.
Vor allem aber ist es wichtig zu wissen, woher die Daten kommen. Viele glauben, es wäre Magie, dabei ist gerade Generative KI das Ergebnis monatelanger Handarbeit, von Menschen, die jeden Tag stundenlang Daten gelabelt, gefiltert und korrigiert haben.
Man sollte es als Werkzeug betrachten. Wie jedes Werkzeug, kann man es falsch verwenden und Dinge kaputt machen. Daher ist ein bedachtsamer Umgang damit notwendig."
"146","2024-01-18 14:45:40","6","de","714300599","2024-01-18 14:42:32","2024-01-18 14:45:40","Ja (Yes)","Männlich (Male)","22","Bachelor (Bachelors Degree)","Tuebingen","Informatik","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","80","Ja","Ja","Ja","Nein","Ja","Ja","Ja","","Täglich (Daily)","trifft eher zu (Agree)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Nein (No)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher nicht zu (Disagree)","teils teils (Neutral)","trifft gar nicht zu (Strongly Disagree)","trifft eher zu","trifft voll zu","trifft eher nicht zu","trifft voll zu","",""
"147","2024-01-18 14:47:16","6","de","2064125152","2024-01-18 14:43:03","2024-01-18 14:47:16","Ja (Yes)","Weiblich (Female)","26","Master (Masters Degree)","Universität Tübingen","Molekulare Medizin","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","Elicit","5","Nein","Nein","Ja","Nein","Ja","Ja","Ja","","An einigen wenigen Wochentagen (On just a few days of the week)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Unentschlossen (Undecided)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","trifft eher nicht zu","teils teils","trifft eher nicht zu","trifft eher zu","",""
